Day,Room No,00-02,02-04,04-06,06-08,08-10,10-12,12-14,14-16,16-18,18-20,20-22,22-24,Total Energy (kWh)
29,1,0.45043152659977365,0.21710951636221942,0.593620935633905,0.5435791537177265,0.7236324665021644,1.495092263815787,0.8257883881504078,0.46428629868459714,0.3213804467939293,1.82340496404017,1.7010390754066225,2.28856843469008,11.447933470397382
29,2,0.5751810572182238,0.33831516413999585,0.3282680628023992,0.2707117708736782,0.7261821825994892,1.2526334949541953,1.1996172806107726,0.4789318501121386,0.42142863592839297,1.738704152372892,2.587076250807586,2.377895006208158,12.294944908627922
29,3,0.5322281205627456,0.25908471093613344,0.3090572254949063,0.5870148601492263,0.7615712348543481,0.9744950604372915,0.8816496519348813,1.0796544041267226,0.4735835773260681,2.366931561751158,1.8633092029699059,2.6305650820618345,12.719144692605221
29,4,0.20573281607281074,0.38036401040314755,0.3544497281318684,0.28193996511024016,0.926252435988894,1.4852231644602658,0.9286673136130212,1.124389156741793,0.7181793342967479,1.655613812972068,2.28057120405044,2.4980083169993486,12.839391258840646
29,5,0.3918585039398097,0.3754588957193491,0.321538598353341,0.49026322370825914,1.3894064989090598,0.6798400526039785,0.47702455213758516,1.0677100356781934,0.6605604256715569,2.9251024296752735,1.2349453461087259,2.5275696014195517,12.541278163924684
29,6,0.5281654853075717,0.4204209783725419,0.39562057380734034,0.5998685066755217,1.136748214338715,1.4262093810281724,1.198295284741617,0.37446188616389386,0.5804788412609643,2.6666054140492497,2.8920342497347833,2.7402177465597313,14.959126562040103
29,7,0.5079374204316176,0.40320190624698843,0.27046184293493636,0.24741146569780376,0.9145775121321956,1.0419854810463132,1.1957558021260148,0.6777067087836782,0.4142186461095517,1.725782256443451,2.469782694288286,1.7594426586156748,11.628264394856512
29,8,0.5994588560022324,0.315083572305069,0.37260971549237676,0.49850037517155643,0.8531729767982039,1.4792283819542924,0.40767577788704784,0.9732217101882994,0.5560420985807708,2.44724561970432,1.6940555574827953,1.6816717045000302,11.877966346066994
29,9,0.5997036154690942,0.44299530763456096,0.5900983410237638,0.4958140445055663,1.2870799240818303,1.240361691062224,0.5870332653599454,1.0178080570560655,0.40512477902759914,1.513190031741574,2.210087209308591,1.522796460487589,11.912092726758404
29,10,0.26274996034243003,0.23702554368219805,0.35925297045592414,0.5138910406684615,1.4844678638972195,1.2918678451035777,0.3733770252068196,0.3787681818023546,0.7481547416564979,2.118846638178875,1.732588309130044,2.1893826936229153,11.690372813747317
29,11,0.3124358932841686,0.5945038225992745,0.2843615419501306,0.3706954430116538,1.0046154585747962,1.4348218984656975,0.7708821213325623,0.5631909137997085,1.046431545919847,2.6210201049077475,1.917913468252635,1.92286186291092,12.843734075009142
29,12,0.5144274151195007,0.5530809232358057,0.5862213245636988,0.5384643979425192,1.2684874001142332,1.3910917580738107,0.8245749309190799,0.9244539894272642,1.1836301667979556,1.3124374563603458,1.8378445854457988,1.3306848274044656,12.265399175404479
29,13,0.32201914187552444,0.5505228752250594,0.5197451901256559,0.48905013827721794,0.8552661833602694,0.7377235214229495,1.089722872209666,0.8281571442596415,0.7309912750699936,1.2711415717043275,1.4932095789211346,1.4748949623722574,10.362444454823697
29,14,0.20673457294425368,0.3162275115397387,0.30070127791367784,0.5738923403737125,0.6766518887540468,1.2062826612160693,0.9021642635179346,0.7213005708183671,1.1042992839694261,2.2314701158037615,1.3433909567789402,1.8457321129930442,11.428847556622973
29,15,0.26761715337438013,0.5835786163911677,0.3923730998116665,0.4477396472940257,1.4104049229021525,0.815145993547798,0.3311167684078088,0.8287187481610555,1.1071419925208579,2.925409329406953,2.412810613289913,2.0473264747034094,13.569383359811187
